Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]Loading weights: 100%|##########| 290/290 [00:00<00:00, 14501.22it/s]
loaded; total_mlp_neurons=116736
[capture] task=coding activation shape on layer0: (1, 62, 4864) (B,S,intermediate)
[capture] task=math activation shape on layer0: (1, 20, 4864) (B,S,intermediate)
core neurons: 253
[sweep] step=30/498 control=random seed=2 frac=0.0301 nll_target=0.8704904839396477 acc_target=None elapsed=258.9s
[sweep] step=31/498 control=low seed=None frac=0.0311 nll_target=0.7349952831864357 acc_target=None elapsed=259.9s
[sweep] step=31/498 control=random seed=0 frac=0.0311 nll_target=0.8209307193756104 acc_target=None elapsed=260.8s
[sweep] step=31/498 control=random seed=1 frac=0.0311 nll_target=0.8740506339818239 acc_target=None elapsed=261.8s
[sweep] step=31/498 control=random seed=2 frac=0.0311 nll_target=0.8878984600305557 acc_target=None elapsed=262.8s
[sweep] step=32/498 control=low seed=None frac=0.0321 nll_target=0.737493509426713 acc_target=None elapsed=263.7s
[sweep] step=32/498 control=random seed=0 frac=0.0321 nll_target=0.829355688765645 acc_target=None elapsed=264.7s
[sweep] step=32/498 control=random seed=1 frac=0.0321 nll_target=0.8599569797515869 acc_target=None elapsed=265.7s
[sweep] step=32/498 control=random seed=2 frac=0.0321 nll_target=0.8904376998543739 acc_target=None elapsed=266.6s
[sweep] step=33/498 control=low seed=None frac=0.0331 nll_target=0.7343296613544226 acc_target=None elapsed=267.7s
[sweep] step=33/498 control=random seed=0 frac=0.0331 nll_target=0.8317331895232201 acc_target=None elapsed=268.6s
[sweep] step=33/498 control=random seed=1 frac=0.0331 nll_target=0.8601081743836403 acc_target=None elapsed=269.6s
[sweep] step=33/498 control=random seed=2 frac=0.0331 nll_target=0.8751957193017006 acc_target=None elapsed=270.6s
[sweep] step=34/498 control=low seed=None frac=0.0341 nll_target=0.7357751522213221 acc_target=None elapsed=271.5s
[sweep] step=34/498 control=random seed=0 frac=0.0341 nll_target=0.8292581234127283 acc_target=None elapsed=272.5s
[sweep] step=34/498 control=random seed=1 frac=0.0341 nll_target=0.8522515390068293 acc_target=None elapsed=273.4s
[sweep] step=34/498 control=random seed=2 frac=0.0341 nll_target=0.8694722503423691 acc_target=None elapsed=274.4s
[sweep] step=35/498 control=low seed=None frac=0.0351 nll_target=0.7375297714024782 acc_target=None elapsed=275.4s
[sweep] step=35/498 control=random seed=0 frac=0.0351 nll_target=0.8313485905528069 acc_target=None elapsed=276.4s
[sweep] step=35/498 control=random seed=1 frac=0.0351 nll_target=0.8605730049312115 acc_target=None elapsed=277.3s
[sweep] step=35/498 control=random seed=2 frac=0.0351 nll_target=0.8571676053106785 acc_target=None elapsed=278.3s
[sweep] step=36/498 control=low seed=None frac=0.0361 nll_target=0.73443204164505 acc_target=None elapsed=279.3s
[sweep] step=36/498 control=random seed=0 frac=0.0361 nll_target=0.8301732074469328 acc_target=None elapsed=280.3s
[sweep] step=36/498 control=random seed=1 frac=0.0361 nll_target=0.8697165176272392 acc_target=None elapsed=281.2s
[sweep] step=36/498 control=random seed=2 frac=0.0361 nll_target=0.8613332416862249 acc_target=None elapsed=282.2s
[sweep] step=37/498 control=low seed=None frac=0.0371 nll_target=0.7386227920651436 acc_target=None elapsed=283.2s
[sweep] step=37/498 control=random seed=0 frac=0.0371 nll_target=0.8338950127363205 acc_target=None elapsed=284.3s
[sweep] step=37/498 control=random seed=1 frac=0.0371 nll_target=0.8591101579368114 acc_target=None elapsed=285.3s
[sweep] step=37/498 control=random seed=2 frac=0.0371 nll_target=0.8737020343542099 acc_target=None elapsed=286.2s
[sweep] step=38/498 control=low seed=None frac=0.0381 nll_target=0.7378464825451374 acc_target=None elapsed=287.2s
[sweep] step=38/498 control=random seed=0 frac=0.0381 nll_target=0.8463557716459036 acc_target=None elapsed=288.2s
[sweep] step=38/498 control=random seed=1 frac=0.0381 nll_target=0.8600032608956099 acc_target=None elapsed=289.1s
[sweep] step=38/498 control=random seed=2 frac=0.0381 nll_target=0.862913254648447 acc_target=None elapsed=290.1s
[sweep] step=39/498 control=low seed=None frac=0.0391 nll_target=0.7368403561413288 acc_target=None elapsed=291.0s
[sweep] step=39/498 control=random seed=0 frac=0.0391 nll_target=0.84267283603549 acc_target=None elapsed=292.0s
[sweep] step=39/498 control=random seed=1 frac=0.0391 nll_target=0.863208195194602 acc_target=None elapsed=293.0s
[sweep] step=39/498 control=random seed=2 frac=0.0391 nll_target=0.8543726243078709 acc_target=None elapsed=294.0s
[sweep] step=40/498 control=low seed=None frac=0.0401 nll_target=0.7378158215433359 acc_target=None elapsed=295.0s
[sweep] step=40/498 control=random seed=0 frac=0.0401 nll_target=0.8629579748958349 acc_target=None elapsed=295.9s
[sweep] step=40/498 control=random seed=1 frac=0.0401 nll_target=0.8688458185642958 acc_target=None elapsed=296.9s
[sweep] step=40/498 control=random seed=2 frac=0.0401 nll_target=0.8609201200306416 acc_target=None elapsed=297.8s
[sweep] step=41/498 control=low seed=None frac=0.0411 nll_target=0.7378338649868965 acc_target=None elapsed=298.8s
[sweep] step=41/498 control=random seed=0 frac=0.0411 nll_target=0.8510858919471502 acc_target=None elapsed=299.7s
[sweep] step=41/498 control=random seed=1 frac=0.0411 nll_target=0.876666096970439 acc_target=None elapsed=300.7s
[sweep] step=41/498 control=random seed=2 frac=0.0411 nll_target=0.8557511530816555 acc_target=None elapsed=301.7s
[sweep] step=42/498 control=low seed=None frac=0.0421 nll_target=0.739245904609561 acc_target=None elapsed=302.7s
[sweep] step=42/498 control=random seed=0 frac=0.0421 nll_target=0.8642231971025467 acc_target=None elapsed=303.7s
[sweep] step=42/498 control=random seed=1 frac=0.0421 nll_target=0.8741117157042027 acc_target=None elapsed=304.7s
[sweep] step=42/498 control=random seed=2 frac=0.0421 nll_target=0.8400163799524307 acc_target=None elapsed=305.7s
[sweep] step=43/498 control=low seed=None frac=0.0431 nll_target=0.7319206018000841 acc_target=None elapsed=306.6s
[sweep] step=43/498 control=random seed=0 frac=0.0431 nll_target=0.8627801276743412 acc_target=None elapsed=307.6s
[sweep] step=43/498 control=random seed=1 frac=0.0431 nll_target=0.8740195091813803 acc_target=None elapsed=308.6s
[sweep] step=43/498 control=random seed=2 frac=0.0431 nll_target=0.8182002417743206 acc_target=None elapsed=309.5s
[sweep] step=44/498 control=low seed=None frac=0.0441 nll_target=0.747101029381156 acc_target=None elapsed=310.5s
[sweep] step=44/498 control=random seed=0 frac=0.0441 nll_target=0.8698851466178894 acc_target=None elapsed=311.5s
[sweep] step=44/498 control=random seed=1 frac=0.0441 nll_target=0.8716232106089592 acc_target=None elapsed=312.5s
[sweep] step=44/498 control=random seed=2 frac=0.0441 nll_target=0.8076701201498508 acc_target=None elapsed=313.5s
[sweep] step=45/498 control=low seed=None frac=0.0451 nll_target=0.7419012431055307 acc_target=None elapsed=314.4s
[sweep] step=45/498 control=random seed=0 frac=0.0451 nll_target=0.8669865876436234 acc_target=None elapsed=315.5s
[sweep] step=45/498 control=random seed=1 frac=0.0451 nll_target=0.8834784869104624 acc_target=None elapsed=316.4s
[sweep] step=45/498 control=random seed=2 frac=0.0451 nll_target=0.8069799728691578 acc_target=None elapsed=317.4s
[sweep] step=46/498 control=low seed=None frac=0.0461 nll_target=0.739035515114665 acc_target=None elapsed=318.4s
[sweep] step=46/498 control=random seed=0 frac=0.0461 nll_target=0.856026004999876 acc_target=None elapsed=319.3s
[sweep] step=46/498 control=random seed=1 frac=0.0461 nll_target=0.881113238632679 acc_target=None elapsed=320.3s
[sweep] step=46/498 control=random seed=2 frac=0.0461 nll_target=0.803462715819478 acc_target=None elapsed=321.3s
[sweep] step=47/498 control=low seed=None frac=0.0471 nll_target=0.7473068628460169 acc_target=None elapsed=322.3s
[sweep] step=47/498 control=random seed=0 frac=0.0471 nll_target=0.8457266055047512 acc_target=None elapsed=323.3s
[sweep] step=47/498 control=random seed=1 frac=0.0471 nll_target=0.879814513027668 acc_target=None elapsed=324.2s
[sweep] step=47/498 control=random seed=2 frac=0.0471 nll_target=0.8047521710395813 acc_target=None elapsed=325.2s
[sweep] step=48/498 control=low seed=None frac=0.0481 nll_target=0.7438577115535736 acc_target=None elapsed=326.1s
[sweep] step=48/498 control=random seed=0 frac=0.0481 nll_target=0.8509671129286289 acc_target=None elapsed=327.1s
[sweep] step=48/498 control=random seed=1 frac=0.0481 nll_target=0.8806965686380863 acc_target=None elapsed=328.1s
[sweep] step=48/498 control=random seed=2 frac=0.0481 nll_target=0.8166962899267673 acc_target=None elapsed=329.0s
[sweep] step=49/498 control=low seed=None frac=0.0491 nll_target=0.75052809715271 acc_target=None elapsed=330.0s
[sweep] step=49/498 control=random seed=0 frac=0.0491 nll_target=0.8415058497339487 acc_target=None elapsed=331.0s
[sweep] step=49/498 control=random seed=1 frac=0.0491 nll_target=0.8814642913639545 acc_target=None elapsed=332.0s
[sweep] step=49/498 control=random seed=2 frac=0.0491 nll_target=0.8302353844046593 acc_target=None elapsed=332.9s
